county	date	positive
Real	20200310	0
Red River	20200310	0
Reeves	20200310	0
Refugio	20200310	0
Roberts	20200310	0
Robertson	20200310	0
Rockwall	20200310	0
Runnels	20200310	0
Rusk	20200310	0
Sabine	20200310	0
San Augustine	20200310	0
San Jacinto	20200310	0
San Patricio	20200310	0
San Saba	20200310	0
Schleicher	20200310	0
Scurry	20200310	0
Shackelford	20200310	0
Shelby	20200310	0
Sherman	20200310	0
Smith	20200310	0
Somervell	20200310	0
Starr	20200310	0
Stephens	20200310	0
Sterling	20200310	0
Stonewall	20200310	0
Sutton	20200310	0
Swisher	20200310	0
Tarrant	20200310	0
Taylor	20200310	0
Terrell	20200310	0
Terry	20200310	0
Throckmorton	20200310	0
Titus	20200310	0
Tom Green	20200310	0
Travis	20200310	0
Trinity	20200310	0
Tyler	20200310	0
Upshur	20200310	0
Upton	20200310	0
Uvalde	20200310	0
Val Verde	20200310	0
Van Zandt	20200310	0
Victoria	20200310	0
Walker	20200310	0
Waller	20200310	0
Ward	20200310	0
Washington	20200310	0
Webb	20200310	0
Wharton	20200310	0
Wheeler	20200310	0
Wichita	20200310	0
Wilbarger	20200310	0
Willacy	20200310	0
Williamson	20200310	0
Wilson	20200310	0
Winkler	20200310	0
Wise	20200310	0
Wood	20200310	0
Yoakum	20200310	0
Young	20200310	0
Zapata	20200310	0
Zavala	20200310	0
Anderson	20200311	0
Andrews	20200311	0
Angelina	20200311	0
Aransas	20200311	0
Archer	20200311	0
Armstrong	20200311	0
Atascosa	20200311	0
Austin	20200311	0
Bailey	20200311	0
Bandera	20200311	0
Bastrop	20200311	0
Baylor	20200311	0
Bee	20200311	0
Bell	20200311	0
Bexar	20200311	0
Blanco	20200311	0
Borden	20200311	0
Bosque	20200311	0
Bowie	20200311	0
Brazoria	20200311	0
Brazos	20200311	0
Brewster	20200311	0
Briscoe	20200311	0
Brooks	20200311	0
Brown	20200311	0
Burleson	20200311	0
Burnet	20200311	0
Caldwell	20200311	0
Calhoun	20200311	0
Callahan	20200311	0
Cameron	20200311	0
Camp	20200311	0
Carson	20200311	0
Cass	20200311	0
Castro	20200311	0
Chambers	20200311	0
Cherokee	20200311	0
Childress	20200311	0
Clay	20200311	0
Cochran	20200311	0
Coke	20200311	0
Coleman	20200311	0
Collin	20200311	3
Collingsworth	20200311	0
Colorado	20200311	0
Comal	20200311	0
Comanche	20200311	0
Concho	20200311	0
Cooke	20200311	0
Coryell	20200311	0
Cottle	20200311	0
Crane	20200311	0
Crockett	20200311	0
Crosby	20200311	0
Culberson	20200311	0
Dallam	20200311	0
Dallas	20200311	2
Dawson	20200311	0
Deaf Smith	20200311	0
